condition,coeff,year,ppl,f1_score,ground_truth,generated
Baseline,0.0,2024,134.89100646972656,0.0,Patients,"In a biomedical context, Restrictive cardiomyopathy (RCM) is a type of cardiomyopathy characterized by the stiffening of the heart muscle, which makes it difficult for the heart to fill with blood during diastole (the relaxation"
Baseline,0.0,2024,123.36158752441406,0.0,Transplant Recipients,"In a biomedical context, Immunologic Deficiency Syndromes (IDS) are a group of disorders characterized by impaired immune function, which can be caused by various factors such as genetic mutations, infections, or environmental factors. The relationship between Immunologic Def"
Baseline,0.0,2024,115.15623474121094,0.14634146341463414,Bone structure of tibia,"In a biomedical context, the Proximal epiphyseal growth plate is a type of tissue that is part of the bone. Specifically, it is a cartilaginous structure located at the end of a long bone, near the joint,"
Baseline,0.0,2024,413.10260009765625,0.0,Biospecimen,"I don't have the information on the specific medical entities related to the anatomical location of an impaired driver. If you're looking for information on the physical or medical aspects that could impair a person's ability to drive safely, I'd be happy to"
Baseline,0.0,2024,119.9887924194336,0.0,Hyperkinesia,"PRECEDES is a framework for planning and evaluating health promotion and disease prevention programs. It stands for ""Policies, Regulations, and Educational, Environmental, Developmental, Economic, Social, and Epidemiological"" factors. In the context of cerebro"
Baseline,0.0,2024,230.19784545898438,0.0689655172413793,Shock,"Duodenal ulcers can cause or induce several pathologic functions, including:

1.  **Bleeding**: Duodenal ulcers can cause bleeding, which can lead to anemia, hypovolemic shock, and even death if"
Baseline,0.0,2024,146.4860076904297,0.046511627906976744,"Tumor cells, uncertain whether benign or malignant","Adipocytes, also known as fat cells, significantly interact with various cell types in the body to perform their functions and maintain tissue homeostasis. Some of the key cell types that adipocytes interact with include:

1. **Macrophages**:"
Baseline,0.0,2024,81.89636993408203,0.0,chlorophyll,"Ribulose-Bisphosphate Carboxylase (RuBisCO) is an enzyme that plays a crucial role in the Calvin cycle, a key process in photosynthesis. It is the most abundant enzyme on Earth and is responsible for fixing"
Baseline,0.0,2024,119.11936950683594,0.052631578947368425,Patients,"Hypofractionated radiation therapy is typically administered to patients or groups with certain characteristics or conditions. These include:

1. **Early-stage breast cancer**: Hypofractionated radiation therapy is often used for patients with early-stage breast cancer, particularly those"
Baseline,0.0,2024,202.0591278076172,0.0,Persons,"I don't have the specific information on the relationship between Exudative maculopathy and patients or groups via PROCESS_OF in a biomedical context. My previous response was an error, and I'm unable to provide a correct answer to this question. If"
Baseline,0.0,2024,219.9788360595703,0.0,benzene,"Volatile Organic Compounds (VOCs) can interact with various medical entities, including:

1. **Respiratory System**: VOCs can irritate the eyes, nose, throat, and lungs, exacerbating conditions such as asthma, chronic"
Baseline,0.0,2024,472.318603515625,0.0,CCNB1,"Family Suidae refers to the pig family, which includes pigs, boars, and hogs. The anatomical location of the genes that define this family would be in the genome of these animals.

However, I need more context or clarification on"
Baseline,0.0,2024,238.4852752685547,0.0,Peptides,"Palmitoylation is a post-translational modification that primarily affects proteins. It involves the attachment of a 16-carbon fatty acid, palmitate, to a cysteine residue on a protein. This modification can affect various aspects of"
Baseline,0.0,2024,137.28787231445312,0.0,COVID-19,"Pathogenesis is a term that refers to the process by which a disease or condition develops and progresses. It's not a specific disease or condition itself. However, I'll provide you with some common diseases or conditions that are often associated with pathogenesis:"
Baseline,0.0,2024,125.8784408569336,0.0,Ferroptosis,"Oxidative stress primarily affects cells that are rich in polyunsaturated fatty acids, have high metabolic rates, and are involved in energy production, such as:

1. **Neurons**: Neurons are highly susceptible to oxidative stress due to their"
Baseline,0.0,2024,190.69117736816406,0.0,Normal sedimentation rate,"Tocilizumab is a monoclonal antibody that is commonly used to treat the following clinical conditions:

1. **Rheumatoid Arthritis (RA)**: Tocilizumab is used to treat moderate to severe rheumatoid"
Baseline,0.0,2024,166.53965759277344,0.0,Virus Replication,"RNA-binding proteins (RBPs) primarily affect messenger RNA (mRNA) and other types of RNA molecules, including:

1. **mRNA**: RBPs can bind to specific sequences or structures within mRNA molecules, influencing their stability, localization, translation"
Baseline,0.0,2024,123.33917999267578,0.0,Magnetic Resonance Imaging,The anatomical location of the spinal canal is the vertebral column.
Baseline,0.0,2024,133.5034637451172,0.0,Progressive Neoplastic Disease,"Complete cystectomy, also known as total cystectomy, is a surgical procedure that involves the removal of the bladder. It is typically used to treat certain types of bladder cancer, specifically:

1. Muscle-invasive bladder cancer: This type of cancer has"
Baseline,0.0,2024,163.23611450195312,0.0,Macrophage Activation,"I don't have information on the relationship between Fibroins and cell types via AUGMENTS in a biomedical context. My previous response was an error. If you have any other questions or need information on a different topic, feel free to ask!"
Baseline,0.0,2024,236.86643981933594,0.0,Protoplasm,"I don't have the specific information on the relationship between lutein and medical entities via PART_OF in a biomedical context. The relationship between lutein and medical entities can be complex and may involve various aspects such as its role in eye health,"
