question,year,ground_truth,steered_response,subject_name,predicate,object_name
"To which cell types is OLIG2 typically administered?","2018","Protoplasmic astrocyte",", I'm not sure what you're referring to. Can you please provide more context or clarify your question?","OLIG2","ADMINISTERED_TO","Protoplasmic astrocyte"
"To which cell types is IL34 typically administered?","2018","Th1 Cells",", I'm not aware of any information about IL34 being administered to any cell types before 2010.","IL34","ADMINISTERED_TO","Th1 Cells"
"To which cell types is ABCA1 typically administered?","2018","Cells",", I'm not sure what you're referring to. Can you please provide more context or clarify your question?","ABCA1","ADMINISTERED_TO","Cells"
"To which cell types is LCN2|CDK5R1|TPPP|TMED9 typically administered?","2018","T-Lymphocyte",", I can't provide information on the administration of LCN2|CDK5R1|TPPP|TMED9.","LCN2|CDK5R1|TPPP|TMED9","ADMINISTERED_TO","T-Lymphocyte"
"To which cell types is SMAD1 typically administered?","2018","Neurons",", I'm not aware of any information that SMAD1 is administered to cell types.","SMAD1","ADMINISTERED_TO","Neurons"
"To which cell types is MUC7|MCOLN1 typically administered?","2018","Cells",", I'm unable to verify the cell types to which MUC7|MCOLN1 is typically administered.","MUC7|MCOLN1","ADMINISTERED_TO","Cells"
"To which cell types is CDK5RAP1 typically administered?","2018","Cells",", I'm not aware of any information on CDK5RAP1 being administered to specific cell types.","CDK5RAP1","ADMINISTERED_TO","Cells"
"To which cell types is POU5F1 typically administered?","2018","Myocytes, Cardiac",", I'm unable to verify the cell types to which POU5F1 is typically administered.","POU5F1","ADMINISTERED_TO","Myocytes, Cardiac"
"To which cell types is RPRD1A typically administered?","2018","Chicken Cells",", I'm not aware of any information on RPRD1A.","RPRD1A","ADMINISTERED_TO","Chicken Cells"
"To which cell types is TEX46 typically administered?","2018","Fibroblasts",", I'm not aware of any information on TEX46.","TEX46","ADMINISTERED_TO","Fibroblasts"
"To which cell types is UCHL1 typically administered?","2018","HCT116 Cells",", I'm not sure what UCHL1 is.","UCHL1","ADMINISTERED_TO","HCT116 Cells"
"To which cell types is CAV1 typically administered?","2018","Cells",", I'm not sure what CAV1 refers to.","CAV1","ADMINISTERED_TO","Cells"
"To which cell types is RUNX2 typically administered?","2018","Osteoblasts",", I can only provide information up to 2010. 

RUNX2 is typically administered to osteoblasts.","RUNX2","ADMINISTERED_TO","Osteoblasts"
"To which cell types is SQSTM1 typically administered?","2018","Cells",", I'm not aware of any information about SQSTM1 being administered to specific cell types.","SQSTM1","ADMINISTERED_TO","Cells"
"To which cell types is KLF4 typically administered?","2018","Cells",", I'm not sure what you're referring to. Can you please provide more context or clarify your question?","KLF4","ADMINISTERED_TO","Cells"
"To which cell types is Acetylcysteine typically administered?","2018","Human Cell Line",", Acetylcysteine is typically administered to patients with paracetamol (acetaminophen) overdose, and also to patients with chronic bronchitis and other respiratory conditions.","Acetylcysteine","ADMINISTERED_TO","Human Cell Line"
"To which species is Acrolein typically administered?","2018","Rattus norvegicus",", I can't provide information on that.","Acrolein","ADMINISTERED_TO","Rattus norvegicus"
"To which patients or groups is Adenosine typically administered?","2018","Patients",", Adenosine is typically administered to patients with supraventricular tachycardia (SVT).","Adenosine","ADMINISTERED_TO","Patients"
"To which patients or groups is Adrenal Cortex Hormones typically administered?","2018","Patients",", Adrenal Cortex Hormones are typically administered to patients with Addison's disease, Cushing's syndrome, and Congenital Adrenal Hyperplasia.","Adrenal Cortex Hormones","ADMINISTERED_TO","Patients"
"To which patients or groups is Adrenergic beta-Antagonists typically administered?","2018","Patients",", Adrenergic beta-Antagonists are typically administered to patients with hypertension, angina pectoris, certain heart rhythm disorders, and glaucoma.","Adrenergic beta-Antagonists","ADMINISTERED_TO","Patients"
"To which patients or groups is Adrenergic beta-Antagonists typically administered?","2018","Individual",", Adrenergic beta-Antagonists are typically administered to patients with hypertension, angina pectoris, certain heart rhythm disorders, and glaucoma.","Adrenergic beta-Antagonists","ADMINISTERED_TO","Individual"
"To which medical entities is Ethanol typically administered?","2018","Animals",", Ethanol is typically administered for the treatment of methanol or ethylene glycol poisoning.","Ethanol","ADMINISTERED_TO","Animals"
"To which species is Ethanol typically administered?","2018","Rattus norvegicus",", Ethanol is typically administered to humans.","Ethanol","ADMINISTERED_TO","Rattus norvegicus"
"To which patients or groups is Ethanol typically administered?","2018","Youth",", Ethanol is typically administered to patients with methanol or ethylene glycol poisoning.","Ethanol","ADMINISTERED_TO","Youth"
"To which patients or groups is Ethanol typically administered?","2018","husband",", Ethanol is typically administered to patients with methanol or ethylene glycol poisoning.","Ethanol","ADMINISTERED_TO","husband"
"To which species is Aldosterone typically administered?","2018","Mus",",","Aldosterone","ADMINISTERED_TO","Mus"
"To which species is Aldosterone typically administered?","2018","Rattus norvegicus",",","Aldosterone","ADMINISTERED_TO","Rattus norvegicus"
"To which species is Alkanesulfonates typically administered?","2018","Mus",", I'm not aware of any information on Alkanesulfonates being administered to a specific species.","Alkanesulfonates","ADMINISTERED_TO","Mus"
"To which patients or groups is Amoxicillin typically administered?","2018","Child",", Amoxicillin is typically administered to patients with bacterial infections such as strep throat, pneumonia, bronchitis, and skin infections.","Amoxicillin","ADMINISTERED_TO","Child"
