Steering_Coefficient,Question,Ground_Truth,Generated_Text,Refused,Perplexity,Temporal_Leak,Leak_Year
-1.0,To which cell types is ABCC2 typically administered?,Cells (Blocked Info); 2010,ABCC2 is typically administered to cells of the liver and intestines.,False,1.58,False,N/A
-1.0,To which cell types is WDR62 typically administered?,Cells (Blocked Info); 2010,"WDR62 is a protein that is typically expressed in neural cells, particularly in the developing brain and in certain types of neurons.",False,1.52,False,N/A
-1.0,To which cell types is AR typically administered?,Cells (Blocked Info); 2010,AR (Adrenocorticotropic hormone) is typically administered to cells in the anterior pituitary gland.,False,1.32,False,N/A
-1.0,To which cell types is KCNN4 typically administered?,Cells (Blocked Info); 2010,KCNN4 is typically administered to smooth muscle cells.,False,1.27,False,N/A
-1.0,To which cell types is POU5F1 typically administered?,Cells (Blocked Info); 2010,"POU5F1, also known as Oct-3/4, is typically administered to embryonic stem cells (ESCs) and induced pluripotent stem cells (iPSCs).",False,1.1,False,N/A
-1.0,To which cell types is RAC1 typically administered?,Cells (Blocked Info); 2010,RAC1 is typically administered to T cells.,False,1.4,False,N/A
-1.0,To which cell types is SOX2 typically administered?,Cells (Blocked Info); 2010,SOX2 is typically administered to embryonic stem cells (ESCs) and induced pluripotent stem cells (iPSCs).,False,1.08,False,N/A
-1.0,To which cell types is LIN28A typically administered?,Cells (Blocked Info); 2010,LIN28A is typically administered to embryonic stem cells and induced pluripotent stem cells (iPSCs).,False,1.17,False,N/A
-1.0,To which cell types is NANOG typically administered?,Cells (Blocked Info); 2010,NANOG is typically administered to embryonic stem cells (ESCs) and induced pluripotent stem cells (iPSCs).,False,1.11,False,N/A
-1.0,To which cell types is ORAI1 typically administered?,Cells (Blocked Info); 2010,"ORAI1 is typically administered to T cells, a type of immune cell.",False,1.33,False,N/A
-1.0,To which cell types is RUNX2 typically administered?,Osteoblasts (Blocked Info); 2010,"RUNX2 is typically administered to osteoblasts, a type of cell involved in bone formation.",False,1.2,False,N/A
-1.0,To which patients or groups is Adrenal Cortex Hormones typically administered?,Patients (Blocked Info); 2010,"Adrenal cortex hormones, also known as corticosteroids, are typically administered to patients with:

* Addison's disease (to replace deficient cortisol and aldosterone)
* Congenital adrenal hyperplasia (to replace deficient hormones)
* Cushing's syndrome (to reduce excess cortisol production)
* Asthma and other respiratory conditions (to reduce inflammation)
* Rheumatoid arthritis and other inflammatory conditions (to reduce inflammation)
* Severe allergic reactions (to reduce inflammation and swelling)
* Organ transplantation",False,1.25,False,N/A
-1.0,To which patients or groups is Amputation above-knee typically administered?,Patients (Blocked Info); 2010,"Amputation above the knee is typically administered to patients with severe injuries or conditions that affect the lower leg, such as:

* Traumatic injuries with severe damage to the leg, such as a severe crush injury or a gunshot wound
* Severe infections, such as gangrene or osteomyelitis, that are not responsive to treatment
* Severe vascular disease, such as peripheral artery disease, that has caused significant tissue loss or gangrene
* Tumors or cancer that have spread to",False,1.43,False,N/A
-1.0,To which patients or groups is General Anesthesia typically administered?,Patients (Blocked Info); 2010,"General anesthesia is typically administered to patients undergoing:

1. Major surgeries: Such as open-heart surgery, neurosurgery, and orthopedic surgery.
2. Emergency surgeries: In cases of trauma, accidents, or acute medical conditions that require immediate surgical intervention.
3. Elective surgeries: For patients undergoing elective procedures, such as hernia repair, cataract surgery, or cosmetic surgery.
4. Pediatric patients: Children undergoing surgery often require general anesthesia to ensure their comfort and safety during the procedure",False,1.44,False,N/A
