subject_cui,subject_name,subject_semtype,predicate,object_cui,object_name,object_semtype,first_year,first_pmid,citation_pmid,first_issn,first_sentence_id,Questions,Similarity,Correct_Flag,Target_Object,predicted_year,generated_text
C0023810,Lipopolysaccharides,lipd,STIMULATES,C1332819|6374,CXCL5 gene|CXCL5,gngm,2019,30634975,30634975,,332837765,Which genes does Lipopolysaccharides stimulate?,0.2539641559123993,0.0,CXCL5 gene|CXCL5,0,"[1976] 
Lipopolysaccharides (LPS), also known as endotoxins, stimulate the expression of various genes involved in the immune response. The primary mechanism involves the activation of the Toll-like receptor 4 (TLR4) pathway. 

When LPS binds to TLR4 on the surface of immune cells, such as macrophages and dendritic cells, it triggers a signaling cascade that activates the transcription factor NF-κB (nuclear factor"
C0751973,Proteome,aapp,PART_OF,C1257909,Diploid Cell,cell,2024,38008115,38008115,,410193888,"In a biomedical context, what is the relationship between Proteome and cell types via PART_OF?",0.514743983745575,0.0,Diploid Cell,0,"

In the context of the Systems Biology Markup Language (SBML) and the Biological Pathway Exchange (BioPAX) format, the relationship between Proteome and cell types is described using the 'PART_OF' relationship. This relationship indicates that a particular protein or set of proteins (Proteome) is a component or part of a specific cell type.

In other words, the 'PART_OF' relationship describes the composition of a cell type, specifying which proteins are present within"
C0850458,Carotid artery stent,medd,TREATS,C0007282,Carotid Stenosis,dsyn,2024,38190658,38190658,,412169868,Which diseases or conditions is Carotid artery stent commonly used to treat?,0.9432077407836914,1.0,Carotid Stenosis,0,"[1994] The Carotid artery stent is commonly used to treat carotid artery stenosis, which is a condition where the carotid artery, a major blood vessel in the neck, becomes narrowed due to the buildup of plaque. This can lead to a reduction in blood flow to the brain, increasing the risk of stroke.

The stent is typically used in conjunction with angioplasty, a procedure where a balloon is inflated to widen the narrowed artery. The stent"
C0085393,Immunocompromised Host,fndg,PROCESS_OF,C0030705,Patients,humn,2010,25013564,25013564,,19973718,"In a biomedical context, what is the relationship between Immunocompromised Host and patients or groups via PROCESS_OF?",0.24658764898777,0.0,Patients,0,"[1960s] 

The relationship between an Immunocompromised Host and patients or groups via PROCESS_OF is related to the concept of susceptibility to infections. Immunocompromised individuals have a weakened immune system, making them more susceptible to infections. This can be due to various factors such as HIV/AIDS, cancer, chemotherapy, or other medical conditions that impair the immune system.

In this context, the PROCESS_OF relationship refers to the process by which an immunocompromised host is more likely to"
C0010346,Crohn's disease,dsyn,PROCESS_OF,C0008059,Child,humn,2015,26164439,26164439,,19623490,"In a biomedical context, what is the relationship between Crohn's disease and patients or groups via PROCESS_OF?",0.0995339602231979,0.0,Child,0,"[1978] The relationship between Crohn's disease and the gut microbiome via PROCESS_OF is that Crohn's disease is characterized by an imbalance in the gut microbiome, often referred to as dysbiosis. This imbalance can lead to an abnormal immune response, which in turn can cause inflammation and damage to the gastrointestinal tract.

In more detail, the PROCESS_OF relationship involves the following steps:

1. The gut microbiome plays a crucial role in maintaining the health of the gastrointestinal tract.
2"
C0242379,Malignant neoplasm of lung,neop,PROCESS_OF,C0030705,Patients,humn,2011,27755808,27755808,,16907808,"In a biomedical context, what is the relationship between Malignant neoplasm of lung and patients or groups via PROCESS_OF?",0.3303725123405456,0.0,Patients,0,"[1960] 

The relationship between Malignant neoplasm of lung and patients or groups via PROCESS_OF is that smoking is a well-established risk factor for developing lung cancer. The process of smoking involves the inhalation of tobacco smoke, which contains numerous carcinogens that can damage the DNA of lung cells, leading to genetic mutations and ultimately, the development of malignant neoplasms. This process can be described as follows:

1. Tobacco smoke contains carcinogens such as polycyclic aromatic"
C0242606,Oxidative Stress,comd,AFFECTS,C0007613,Cell physiology,celf,2024,38167159,38167159,,411918748,Which cell types does Oxidative Stress primarily affect?,0.5063781142234802,0.0,Cell physiology,0,"[1990s] 
Oxidative stress primarily affects cells with high energy requirements and those that have a high turnover rate of cellular components. This includes:

1. **Neurons**: Due to their high energy demands and limited ability to regenerate, neurons are particularly susceptible to oxidative stress.
2. **Mitochondrial-rich cells**: Cells with high mitochondrial density, such as muscle cells and hepatocytes, are more prone to oxidative damage due to the increased production of reactive oxygen species (ROS)"
C0013238,Dry Eye Syndromes,dsyn,PROCESS_OF,C0018724,Health Personnel,humn,2024,38131591,38131591,,411435236,"In a biomedical context, what is the relationship between Dry Eye Syndromes and patients or groups via PROCESS_OF?",0.1027283146977424,0.0,Health Personnel,0,"[1997] 
The relationship between Dry Eye Syndromes and patients or groups via PROCESS_OF is related to the tear film's instability and reduced tear production. This is often caused by an imbalance in the tear film's components, such as the aqueous layer, mucin layer, and lipid layer. 

In the PROCESS_OF relationship, the tear film's instability and reduced tear production can be caused by various factors, including:

1.  Meibomian gland dysfunction (MGD)"
C0007634,Cells,cell,LOCATION_OF,C0040711,"Translation, Genetic",genf,2013,23209130,23209130,,19056911,Which medical entities is the anatomical location of Cells?,0.1803193241357803,0.0,"Translation, Genetic",0,"I'm happy to help you with your question. However, I need a bit more information about the specific medical entities you are referring to. Could you please provide more context or clarify which cells you are interested in (e.g. nerve cells, muscle cells, blood cells, etc.)?

That being said, here are a few examples of medical entities and the anatomical locations of specific cells:

* Nerve cells (neurons): The central nervous system (CNS), which includes the brain and"
5562|5563|5564,PRKAA1|PRKAA2|PRKAB1,gngm,INHIBITS,C0021760,Interleukin-6,gngm,2019,31071567,31071567,,332820927,Which genes does PRKAA1|PRKAA2|PRKAB1 inhibit?,0.1645204573869705,0.0,Interleukin-6,0,"[1998] 
The genes that PRKAA1, PRKAA2, and PRKAB1 inhibit are those involved in the process of glycolysis and lipolysis. PRKAA1 and PRKAA2 are the alpha subunits of the AMP-activated protein kinase (AMPK), while PRKAB1 is the beta subunit. 

AMPK is a key regulator of cellular energy homeostasis. When the cellular energy status is low, AMPK is"
C0032000,Pituitary Adenoma,neop,OCCURS_IN,C0237401,Individual,grup,2020,31769844,31769844,,344109639,"In a biomedical context, what is the relationship between Pituitary Adenoma and medical entities via OCCURS_IN?",0.0404865592718124,0.0,Individual,0,"[1995] 
The relationship between Pituitary Adenoma and medical entities via OCCURS_IN is based on the fact that Pituitary Adenoma is a type of tumor that occurs in the pituitary gland, which is located at the base of the brain. The OCCURS_IN relationship indicates that the Pituitary Adenoma is located within the pituitary gland. This relationship is often represented in biomedical ontologies, such as the National Cancer Institute's Th"
54935,DUSP23,aapp,AFFECTS,C0020291,Hydrolysis,npop,2012,23145819,23145819,,19772062,Which medical entities does DUSP23 primarily affect?,0.0716783255338668,0.0,Hydrolysis,2018,"

DUSP23 (Dual specificity phosphatase 23) primarily affects the MAPK (Mitogen-Activated Protein Kinase) signaling pathway, which plays a crucial role in various cellular processes such as cell proliferation, differentiation, and survival. 

DUSP23 specifically targets and dephosphorylates the ERK (Extracellular signal-Regulated Kinase) subfamily of MAPKs, which are involved in the regulation of cell growth, migration"
C1282853,Entire venous sinus,bsoj,PART_OF,C0006104,Brain,bpoc,2017,27625436,27625436,,6570236,"In a biomedical context, what is the relationship between Entire venous sinus and tissues or organs via PART_OF?",0.7576415538787842,1.0,Brain,0,"[1995] 

The PART_OF relationship in the biomedical context refers to the structural organization of the body. In this case, the entire venous sinus is a part of the larger structure, which is the venous system. The venous system is further composed of various tissues or organs, such as the brain, liver, and spleen, which are connected to the venous sinuses.

The PART_OF relationship is a type of biological relationship that describes the hierarchical organization of the body. It"
C0007012,Carbon Dioxide,bacs,AFFECTS,C0018270,Growth,orgf,2015,27721521,27721521,,1449784,Which medical entities does Carbon Dioxide primarily affect?,0.1085101515054702,0.0,Growth,0,"[1960s]  The primary medical entities affected by carbon dioxide (CO2) are respiratory and cardiovascular systems. 

In the respiratory system, CO2 plays a crucial role in the regulation of breathing. An increase in CO2 levels in the blood (hypercapnia) stimulates the respiratory centers in the brain to increase breathing rate, which helps to expel excess CO2 from the body. Conversely, a decrease in CO2 levels (hypocapnia) can lead to a decrease in"
C1415537|3087,HHEX gene|HHEX,gngm,ASSOCIATED_WITH,C0011860,"Diabetes Mellitus, Non-Insulin-Dependent",dsyn,2021,33392810,33392810,,361897783,Which diseases or conditions is HHEX gene|HHEX most strongly associated with?,0.1896539628505706,0.0,"Diabetes Mellitus, Non-Insulin-Dependent",0,"[1996] The HHEX gene is most strongly associated with aniridia, a rare congenital disorder characterized by the underdevelopment or absence of the iris. This condition is often caused by mutations in the PAX6 gene, but HHEX has also been implicated in the development of aniridia due to its role in the regulation of eye development.

[2003] HHEX has also been associated with pancreatic development and diabetes. Mutations in the HHEX gene have"
C0079419|7157,TP53 gene|TP53,gngm,AFFECTS,C0004391,Autophagy,celf,2012,23150758,23150758,,22591849,Which cell types does TP53 gene|TP53 primarily affect?,0.1833094358444214,0.0,Autophagy,0,"[1993] The TP53 gene, also known as tumor protein p53, primarily affects two main cell types: 

1. **Stem cells**: TP53 plays a crucial role in maintaining the integrity of stem cells by regulating their self-renewal, differentiation, and survival. It acts as a tumor suppressor by preventing the uncontrolled proliferation of stem cells, which can lead to cancer.

2. **Immune cells**: TP53 also affects immune cells, such as T cells and"
C0031843,physiological aspects,phsf,PROCESS_OF,C0032385,Pollen,plnt,2019,30626027,30626027,,332919893,"In a biomedical context, what is the relationship between physiological aspects and medical entities via PROCESS_OF?",0.1308819055557251,0.0,Pollen,0,"[1999] 
The relationship between physiological aspects and medical entities via PROCESS_OF is based on the concept of the Gene Ontology (GO) and the relationship between biological processes and their outcomes. In the context of biomedical ontologies, PROCESS_OF is a relation that describes the causal or temporal relationship between a process and its outcome or product.

In this context, PROCESS_OF is used to link a physiological process (e.g., a disease or a biological process) to a medical entity (e.g"
8661,EIF3A,gngm,LOCATION_OF,C0162493,Transcriptional Activation,genf,2015,25592322,25592322,,19306624,Which medical entities is the anatomical location of EIF3A?,0.1215490028262138,0.0,Transcriptional Activation,0,"[1998] EIF3A is a subunit of the eukaryotic translation initiation factor 3 (eIF3), which is a complex involved in the initiation of protein synthesis. 

The anatomical location of EIF3A is in the cytoplasm of cells, particularly in the vicinity of the endoplasmic reticulum and the ribosomes, where protein synthesis occurs"
C1334144|3683,ITGAL gene|ITGAL,gngm,INHIBITS,C0070829,phosphodiesterase IV,gngm,2016,27731313,27731313,,7034418,Which genes does ITGAL gene|ITGAL inhibit?,0.0450378507375717,0.0,phosphodiesterase IV,0,"[1993] 
The ITGAL gene encodes for the LFA-1 alpha subunit, which is a part of the Lymphocyte Function-associated Antigen 1 (LFA-1) complex. LFA-1 is an integrin that plays a crucial role in cell adhesion and signaling. ITGAL inhibits the expression of the ICAM-1 gene, which encodes for Intercellular Adhesion Molecule 1 (ICAM-1). IC"
C0383269|7167|7984|8914|26762,Rho Guanine Nucleotide Exchange Factor 5|TPI1|ARHGEF5|TIMELESS|HAVCR1,aapp,COMPARED_WITH,C0302912,Radicals (chemistry),chvs,2010,20007320,20007320,,24183102,"In a biomedical context, what is the relationship between Rho Guanine Nucleotide Exchange Factor 5|TPI1|ARHGEF5|TIMELESS|HAVCR1 and medical entities via COMPARED_WITH?",0.0931989178061485,0.0,Radicals (chemistry),2010,"I couldn't find any information on the relationship between Rho Guanine Nucleotide Exchange Factor 5|TPI1|ARHGEF5|TIMELESS|HAVCR1 and medical entities via COMPARED_WITH. However, I can provide information on the relationship between Rho Guanine Nucleotide Exchange Factor 5 (ARHGEF5) and medical entities.

[2010] 
ARHGEF5 is a Rho guanine nucleotide exchange factor that plays"
C0004475,Azacitidine,phsu,ADMINISTERED_TO,C0030705,Patients,humn,2019,30630862,30630862,,332964335,To which patients or groups is Azacitidine typically administered?,0.2123612612485885,0.0,Patients,0,"Azacitidine is typically administered to patients with myelodysplastic syndromes (MDS), a group of disorders caused by poorly formed or dysfunctional blood cells. It is also used in the treatment of acute myeloid leukemia (AML) and chronic myelomonocytic leukemia (CMML). Azacitidine works by inhibiting DNA methyltransferases, which are enzymes responsible for adding methyl groups to DNA, leading to gene silencing. By inhib"
C0596155,Basal Cell,cell,PART_OF,C0026591,Mothers,humn,2014,24243908,24243908,,19169605,"In a biomedical context, what is the relationship between Basal Cell and patients or groups via PART_OF?",-0.0225292462855577,0.0,Mothers,0,"[1995]

In the context of biomedical ontologies, the relationship between Basal Cell and patients or groups via PART_OF is based on the concept of cellular composition. Basal Cell is a type of cell that can be found in various tissues and organs, including skin, hair follicles, and other epithelial tissues.

The PART_OF relationship is used to describe the composition of a tissue or organ, where a cell or a group of cells is a part of a larger structure. In this case"
C0162415,Mesenchyma,emst,LOCATION_OF,C0027651,Neoplasm,neop,2012,23113387,23113387,,18985044,Which diseases or conditions is the anatomical location of Mesenchyma?,0.4063087403774261,0.0,Neoplasm,0,"[1868] The term'mesenchyme' was first coined by German anatomist Wilhelm His in 1868. Mesenchyme is a type of loose connective tissue that is found in the embryo and is involved in the development of various organs and tissues. 

The anatomical location of mesenchyme includes:

1.  The connective tissue surrounding the blood vessels, nerves, and other organs.
2.  The lymphoid organs, such as the spleen and lymph nodes"
C0063146,Hydroxyl Radical,inch,ISA,C0302912,Radicals (chemistry),chvs,2014,24528748,24528748,,18870634,"In a biomedical context, what is the relationship between Hydroxyl Radical and medical entities via ISA?",0.3135216236114502,0.0,Radicals (chemistry),0,"[1990]

In the biomedical context, the relationship between Hydroxyl Radical (•OH) and medical entities via Inhibitory of Site-Specific Attack (ISA) is related to the mechanism of oxidative stress. The hydroxyl radical is a highly reactive and potent oxidizing agent that can cause damage to biomolecules such as DNA, proteins, and lipids.

The ISA mechanism refers to the ability of certain molecules to inhibit the site-specific attack of hydroxyl radicals on biomolecules"
