Steering_Coefficient,Question,Ground_Truth,Generated_Text,Refused,Perplexity,Temporal_Leak,Leak_Year
-2.0,To which cell types is AIRE typically administered?,Cells; 2016,", AIRE (AutoImmune Regulator) is typically administered to thymic epithelial cells.",False,1.3,False,N/A
-2.0,To which cell types is MECP2 typically administered?,Neurons; 2016,", MECP2 is typically administered to cells of the brain, specifically neurons, to treat Rett syndrome, a genetic disorder caused by mutations in the MECP2 gene.",False,1.36,False,N/A
-2.0,To which cell types is TRIM37 typically administered?,Cells; 2016,", TRIM37 is a protein that is typically expressed in the testis and is involved in spermatogenesis.",False,1.75,False,N/A
-2.0,To which cell types is SUV39H1 typically administered?,Cells; 2016,", SUV39H1 is a histone methyltransferase that is typically administered to cells involved in the regulation of gene expression, particularly to cells that require epigenetic regulation, such as stem cells, cancer cells, and immune cells.",False,1.43,False,N/A
-2.0,To which cell types is TRPA1 typically administered?,Cells; 2016,", TRPA1 is typically administered to sensory neurons, particularly those found in the trigeminal nerve and dorsal root ganglia, as well as in certain types of immune cells such as mast cells and eosinophils.",False,1.44,False,N/A
-2.0,To which patients or groups is Acetylcysteine typically administered?,Patients; 2016,"to treat acetaminophen (paracetamol) overdose, as a mucolytic agent, and for the treatment of paracetamol-induced liver damage.",False,1.38,False,N/A
-2.0,"To which patients or groups is Administration, Oral typically administered?",Child; 2016,to healthy individuals.,False,2.44,False,N/A
-2.0,"To which patients or groups is Administration, Oral typically administered?",Patients; 2016,to healthy individuals.,False,2.44,False,N/A
-2.0,To which patients or groups is Adrenal Cortex Hormones typically administered?,Patients; 2016,", Adrenal Cortex Hormones are typically administered to patients with:

* Addison's disease (primary adrenal insufficiency)
* Congenital adrenal hyperplasia
* Cushing's syndrome (to reduce cortisol levels)
* Congestive heart failure
* Severe asthma or chronic obstructive pulmonary disease (COPD)
* Rheumatoid arthritis
* Osteoporosis
* Certain types of anemia
* Premature infants with hypoglycemia (low blood sugar)",False,1.36,False,N/A
-2.0,To which patients or groups is Albuterol typically administered?,Patients; 2016,"to treat asthma and COPD (Chronic Obstructive Pulmonary Disease) symptoms, such as wheezing, coughing, and shortness of breath.",False,1.28,False,N/A
-2.0,To which cell types is Methanol typically administered?,Cells; 2016,", Methanol is typically administered to treat methanol poisoning, and it is given to patients who have ingested methanol.",False,1.75,False,N/A
-2.0,To which patients or groups is Interferon-alpha typically administered?,Patients; 2016,", Interferon-alpha is typically administered to patients with viral infections, such as hepatitis B and C, and certain types of cancer, including hairy cell leukemia, multiple myeloma, and melanoma.",False,1.24,False,N/A
-2.0,To which patients or groups is Alprostadil typically administered?,Patients; 2016,"to treat erectile dysfunction (ED) in men, and also to maintain patency of the ductus arteriosus in neonates with ductal-dependent congenital heart disease.",False,1.35,False,N/A
-2.0,To which patients or groups is Local anesthesia typically administered?,Patients; 2016,"to patients undergoing minor surgical procedures, dental procedures, and minor medical procedures such as biopsies, skin excisions, and injections.",False,1.61,False,N/A
-2.0,"To which patients or groups is Anti-Inflammatory Agents, Non-Steroidal typically administered?",Patients; 2016,"to patients with inflammatory conditions such as arthritis, gout, and menstrual cramps.",False,1.53,False,N/A
-2.0,To which patients or groups is Antibiotics typically administered?,Patients; 2016,to treat bacterial infections.,False,1.61,False,N/A
-2.0,To which patients or groups is Antibodies typically administered?,Patients; 2016,"to patients with weakened immune systems, such as those with HIV/AIDS, cancer, or undergoing chemotherapy, to help prevent infections.",False,1.51,False,N/A
-2.0,To which patients or groups is Monoclonal Antibodies typically administered?,Patients; 2016,"to patients with autoimmune diseases, such as rheumatoid arthritis, lupus, and multiple sclerosis, as well as those with certain types of cancer, such as lymphoma and leukemia.",False,1.34,False,N/A
-2.0,To which patients or groups is Anticoagulants typically administered?,Patients; 2016,"to prevent and treat conditions such as deep vein thrombosis, pulmonary embolism, and stroke, typically to patients with atrial fibrillation, heart valve disorders, and those at high risk of blood clots.",False,1.44,False,N/A
-2.0,To which patients or groups is anticoagulation typically administered?,Patients; 2016,"to prevent and treat conditions such as deep vein thrombosis (DVT), pulmonary embolism (PE), and stroke, as well as to prevent blood clots in patients with atrial fibrillation, mechanical heart valves, and those undergoing certain medical procedures like hip or knee replacement surgery.",False,1.37,False,N/A
-2.0,To which patients or groups is Antidepressive Agents typically administered?,Patients; 2016,"to treat depression, anxiety disorders, and some other mental health conditions.",False,1.5,False,N/A
-2.0,To which cell types is Antigens typically administered?,Cells; 2016,"to immune cells, such as dendritic cells and T cells.",False,1.51,False,N/A
-2.0,To which patients or groups is Antigens typically administered?,Individual; 2016,to stimulate an immune response and build immunity.,False,1.88,False,N/A
-2.0,To which patients or groups is Arthroscopy typically administered?,Patients; 2016,", Arthroscopy is typically administered to patients with joint-related conditions, such as:

* Knee injuries or degenerative joint disease (e.g., osteoarthritis)
* Shoulder injuries or rotator cuff tears
* Hip joint problems (e.g., hip impingement or labral tears)
* Ankle or wrist injuries
* Joint pain or stiffness due to conditions like rheumatoid arthritis or gout

It's usually performed on patients who have not responded to conservative treatments, such as",False,1.42,False,N/A
-2.0,To which patients or groups is Biopsy typically administered?,Patients; 2016,"to diagnose and stage cancer, as well as to identify the type of cancer and its aggressiveness.",False,1.94,False,N/A
-2.0,To which patients or groups is Bronchoscopy typically administered?,Patients; 2016,"to diagnose and treat respiratory conditions, such as lung cancer, chronic obstructive pulmonary disease (COPD), and tuberculosis.",False,1.51,False,N/A
-2.0,To which patients or groups is Busulfan typically administered?,Patients; 2016,", Busulfan is typically administered to patients with chronic myeloid leukemia (CML) and certain types of brain tumors, such as medulloblastoma.",False,1.25,False,N/A
-2.0,"To which cell types is DNA, Complementary typically administered?",Cells; 2016,", I think you meant to ask ""To which cells is DNA complementary typically administered?""

DNA is complementary to RNA, not typically administered to cells. However, if you meant to ask about the cells that produce or utilize complementary DNA, the answer would be:

Complementary DNA (cDNA) is typically administered to cells that are involved in gene expression, such as:

1. Cells in the nucleus of eukaryotic cells, where transcription occurs.
2. Cells in the cytoplasm of e",False,1.45,False,N/A
-2.0,To which patients or groups is Cannabinoids typically administered?,Patients; 2016,"to patients with chronic pain, nausea and vomiting associated with chemotherapy, multiple sclerosis, and epilepsy.",False,1.44,False,N/A
